plot,block,treatment,date,quadrat,cotyledon,zero_two,two_four,four_twelve,twelve_plus,total_plants,percentage_c,percentage_z_t,percentage_t_f,percentage_f_t,percentage_t
101,b1,spring alfalfa orchard grass,6/30/22,0.25^2,0,4,0,2,0,6,0.00,66.67,0.00,33.33,0.00
102,b1,rye silage ssgrass,6/30/22,0.25^2,0,10,1,0,0,11,0.00,90.91,9.09,0.00,0.00
103,b1,fall wheat clover,6/30/22,0.25^2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
104,b1,fall wheat cc mix,6/30/22,0.25^2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
105,b1,spring alfalfa oats,6/30/22,0.25^2,0,2,2,0,0,4,0.00,50.00,50.00,0.00,0.00
106,b1,oats cc mix,6/30/22,0.25^2,1,0,0,0,0,1,100.00,0.00,0.00,0.00,0.00
201,b2,fall wheat cc mix,6/30/22,0.25^2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
202,b2,spring alfalfa oats,6/30/22,0.25^2,0,3,1,2,0,6,0.00,50.00,16.67,33.33,0.00
203,b2,fall wheat clover,6/30/22,0.25^2,0,0,0,1,0,1,0.00,0.00,0.00,100.00,0.00
204,b2,spring alfalfa orchard grass,6/30/22,0.25^2,0,0,4,7,4,15,0.00,0.00,26.67,46.67,26.67
205,b2,oats cc mix,6/30/22,0.25^2,0,0,1,0,0,1,0.00,0.00,100.00,0.00,0.00
206,b2,rye silage ssgrass,6/30/22,0.25^2,0,5,18,2,0,25,0.00,20.00,72.00,8.00,0.00
301,b3,rye silage ssgrass,6/30/22,0.25^2,1,46,0,0,0,47,2.13,97.87,0.00,0.00,0.00
302,b3,oats cc mix,6/30/22,0.25^2,0,2,0,0,0,2,0.00,100.00,0.00,0.00,0.00
303,b3,fall wheat cc mix,6/30/22,0.25^2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
304,b3,spring alfalfa oats,6/30/22,0.25^2,0,4,2,0,0,6,0.00,66.67,33.33,0.00,0.00
305,b3,fall wheat clover,6/30/22,0.25^2,0,0,1,2,2,5,0.00,0.00,20.00,40.00,40.00
306,b3,spring alfalfa orchard grass,6/30/22,0.25^2,0,2,4,6,6,18,0.00,11.11,22.22,33.33,33.33
401,b4,fall wheat clover,6/30/22,0.25^2,0,6,3,0,0,9,0.00,66.67,33.33,0.00,0.00
402,b4,spring alfalfa orchard grass,6/30/22,0.25^2,0,4,0,6,2,12,0.00,33.33,0.00,50.00,16.67
403,b4,rye silage ssgrass,6/30/22,0.25^2,0,18,4,0,0,22,0.00,81.82,18.18,0.00,0.00
404,b4,oats cc mix,6/30/22,0.25^2,0,3,0,1,0,4,0.00,75.00,0.00,25.00,0.00
405,b4,spring alfalfa oats,6/30/22,0.25^2,0,7,2,0,0,9,0.00,77.78,22.22,0.00,0.00
406,b4,fall wheat cc mix,6/30/22,0.25^2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
